;CELL SUSPENSION ID (Required);CELL SUSPENSION NAME;CELL SUSPENSION DESCRIPTION;SOURCE TISSUE ID;NCBI TAXON ID (Required);GENUS SPECIES (Required);SPECIES ONTOLOGY ID;SPECIES ONTOLOGY LABEL;ESTIMATED CELL COUNT;WELL LABEL;PLATE LABEL;SELECTED CELL TYPE;CELL TYPE ONTOLOGY ID;CELL TYPE ONTOLOGY LABEL;BIOSAMPLES ID;INSDC BIOMATERIAL ID;DISSOCIATION PROTOCOL ID;ENRICHMENT PROTOCOL ID;CELL MORPHOLOGY;CELL SIZE;CELL SIZE UNIT;LENGTH UNIT ONTOLOGY ID;LENGTH UNIT ONTOLOGY LABEL;GENOTYPE;SUPPLEMENTARY FILES
;A unique ID for the biomaterial.;A short, descriptive name for the biomaterial that need not be unique.;A general description of the biomaterial.;The unique Tissue ID of the tissue this cell suspension was derived from.;A taxonomy ID (taxonID) from NCBI.;The name of the species to which the organism belongs.;An ontology term identifier in the form prefix:accession;The preferred label for the ontology term referred to in the ontology field. This may differ from the user-supplied value in the text field;Total estimated number of cells in the suspension.;;;The name of a cell type supplied by a user.;An ontology term identifier in the form prefix:accession;The preferred label for the ontology term referred to in the ontology field. This may differ from the user-supplied value in the text field;A BioSamples ID.;An International Nucleotide Sequence Database Collaboration (INSDC) sample accession.;An ID of a Dissociation protocol used to generate this cell suspension.;An ID of an Enrichment protocol used to generate this cell suspension.;General description of the morphology of cells.;Size of cells in Cell size unit.;The name of a length unit being used.;An ontology term identifier in the form prefix:accession;The preferred label for the ontology term referred to in the ontology field. This may differ from the user-supplied value in the text field;Genotype of the biomaterial.;A list of filenames of biomaterial-level supplementary files.
;;;;Use a Tissue ID you already provided in the Tissue Tab.; For example: 9606;" For example: Homo sapiens; Mus musculus";" For example: NCBITaxon:9606; NCBITaxon:10090";" For example: Homo sapiens; Mus musculus";Enter 1 for well-based assays. For example: 2100;;;" For example: bone marrow hematopoietic cell; cardiac muscle cell";" For example: CL:1001610; CL:0000746";" For example: bone marrow hematopoietic cell; cardiac muscle cell";Enter ID if sample has been archived. ID can be from the DDBJ, NCBI, or EMBL-EBI and must start with SAMD, SAMN, or SAME, respectively. For example: SAMN00000000;Enter accession if sample has been archived. Accession can be from the DDBJ, NCBI, or EMBL-EBI and must start with DRS, SRS, or ERS, respecitvely. For example: SRS0000000;Use a Dissociation protocol ID you provided in the Dissociation protocol Tab.;Use an Enrichment protocol ID you provided in the Enrichment protocol Tab.;" For example: adherent cells; form single layer colonies";"Enter a single value or a range. Average value is acceptable. For example: 15; 20-30";" For example: micrometer; meter";" For example: UO:0000017; UO:0000008";" For example: micrometer; meter";" For example: DRB1 0401 protective allele; HLA-B*3901 allele";
cell_suspension.uuid;cell_suspension.biomaterial_core.biomaterial_id;cell_suspension.biomaterial_core.biomaterial_name;cell_suspension.biomaterial_core.biomaterial_description;specimen_from_organism.biomaterial_core.biomaterial_id;cell_suspension.biomaterial_core.ncbi_taxon_id;cell_suspension.genus_species.text;cell_suspension.genus_species.ontology;cell_suspension.genus_species.ontology_label;cell_suspension.estimated_cell_count;cell_suspension.plate_based_sequencing.plate_label;cell_suspension.plate_based_sequencing.well_label;cell_suspension.selected_cell_types.text;cell_suspension.selected_cell_types.ontology;cell_suspension.selected_cell_types.ontology_label;cell_suspension.biomaterial_core.biosamples_accession;cell_suspension.biomaterial_core.insdc_sample_accession;dissociation_protocol.protocol_core.protocol_id;enrichment_protocol.protocol_core.protocol_id;cell_suspension.cell_morphology.cell_morphology;cell_suspension.cell_morphology.cell_size;cell_suspension.cell_morphology.cell_size_unit.text;cell_suspension.cell_morphology.cell_size_unit.ontology;cell_suspension.cell_morphology.cell_size_unit.ontology_label;cell_suspension.biomaterial_core.genotype;cell_suspension.biomaterial_core.supplementary_files
;FILL OUT INFORMATION BELOW THIS ROW;;;;;;;;;;;;;;;;;;;;;;;;
0c892e99-f4f3-432c-9096-1cf079ea78f0;GSM2514389_C53;;Human UC donor, noninflammed colon, stromal cell;Human_S5_UC_noninflammed_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C53;20160517;stromal cell;CL:0000499;stromal cell;SAMN06467600;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
81ab6ae3-74ac-4ea5-a2b4-933e94342ed0;GSM2514391_C56;;Human UC donor, noninflammed colon, stromal cell;Human_S5_UC_noninflammed_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C56;20160517;stromal cell;CL:0000499;stromal cell;SAMN06467598;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
9d680178-116c-463c-a95a-af7c919dba0c;GSM2514393_C59;;Human UC donor, noninflammed colon, stromal cell;Human_S5_UC_noninflammed_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C59;20160517;stromal cell;CL:0000499;stromal cell;SAMN06467596;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
bb6c4327-4053-4c9b-a3a8-c46fa1a810b0;GSM2514395_C62;;Human UC donor, noninflammed colon, stromal cell;Human_S5_UC_noninflammed_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C62;20160517;stromal cell;CL:0000499;stromal cell;SAMN06467409;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
66a77fdd-4ee9-4834-8560-1068547a6453;GSM2514397_C64;;Human UC donor, noninflammed colon, stromal cell;Human_S5_UC_noninflammed_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C64;20160517;stromal cell;CL:0000499;stromal cell;SAMN06467407;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
02b6ced9-f122-4ec8-aed7-4b09e72b4d6b;GSM2514399_C74;;Human UC donor, noninflammed colon, stromal cell;Human_S5_UC_noninflammed_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C74;20160517;stromal cell;CL:0000499;stromal cell;SAMN06467405;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
f8760a76-ffc5-4c75-b23a-8ca0fd74fd7b;GSM2514401_C77;;Human UC donor, noninflammed colon, stromal cell;Human_S5_UC_noninflammed_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C77;20160517;stromal cell;CL:0000499;stromal cell;SAMN06467403;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
56a2b033-aea2-43c0-b063-176c0924be93;GSM2514403_C79;;Human UC donor, noninflammed colon, stromal cell;Human_S5_UC_noninflammed_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C79;20160517;stromal cell;CL:0000499;stromal cell;SAMN06467401;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
741d91d8-6661-4612-b446-13efc55295fc;GSM2514381_C88;;Human UC donor, noninflammed colon, stromal cell;Human_S5_UC_noninflammed_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C88;20160517;stromal cell;CL:0000499;stromal cell;SAMN06467608;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
8714ea3b-02db-4f81-9d0f-57e80484b75e;GSM2514384_C89;;Human UC donor, noninflammed colon, stromal cell;Human_S5_UC_noninflammed_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C89;20160517;stromal cell;CL:0000499;stromal cell;SAMN06467605;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
1b8d38ff-3706-4594-9565-3ecdcc77d527;GSM2514404_C02;;Human UC donor, inflammed colon, stromal cell;Human_S6_UC_inflammed_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C02;20160519;stromal cell;CL:0000499;stromal cell;SAMN06467396;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
cf094556-8e8d-4671-baaa-af6b8f927eff;GSM2514408_C10;;Human UC donor, inflammed colon, stromal cell;Human_S6_UC_inflammed_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C10;20160519;stromal cell;CL:0000499;stromal cell;SAMN06467397;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
77a26850-b610-4be6-a098-5a6dae2fccff;GSM2514409_C11;;Human UC donor, inflammed colon, stromal cell;Human_S6_UC_inflammed_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C11;20160519;stromal cell;CL:0000499;stromal cell;SAMN06467395;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
45d77cbb-9f65-4ce3-9b97-dd47e04f0e69;GSM2514410_C13;;Human UC donor, inflammed colon, stromal cell;Human_S6_UC_inflammed_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C13;20160519;stromal cell;CL:0000499;stromal cell;SAMN06467394;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
9a0ca710-1a7b-4566-9388-ccf10e36d1da;GSM2514421_C20;;Human UC donor, inflammed colon, stromal cell;Human_S6_UC_inflammed_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C20;20160519;stromal cell;CL:0000499;stromal cell;SAMN06467383;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
a21f4a9c-c7f6-401b-8072-b3a2f759de83;GSM2514427_C22;;Human UC donor, inflammed colon, stromal cell;Human_S6_UC_inflammed_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C22;20160519;stromal cell;CL:0000499;stromal cell;SAMN06467513;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
5f8091ec-5cc8-4895-82a7-a7995955e4af;GSM2514422_C35;;Human UC donor, inflammed colon, stromal cell;Human_S6_UC_inflammed_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C35;20160519;stromal cell;CL:0000499;stromal cell;SAMN06467382;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
e0d17314-0550-411f-810f-51b7325d51ec;GSM2514425_C37;;Human UC donor, inflammed colon, stromal cell;Human_S6_UC_inflammed_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C37;20160519;stromal cell;CL:0000499;stromal cell;SAMN06467515;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
02032762-a848-43a4-953e-9107d0f548e7;GSM2514426_C83;;Human UC donor, inflammed colon, stromal cell;Human_S6_UC_inflammed_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C83;20160519;stromal cell;CL:0000499;stromal cell;SAMN06467514;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
b016be1e-84ad-4c6a-afa1-8896f337d60d;GSM2514454_C02;;Human UC donor, inflammed colon, stromal cell;Human_S6_UC_inflammed_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C02;20160523;stromal cell;CL:0000499;stromal cell;SAMN06467486;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
da1db512-54a3-49fb-889e-ab81fa7460b5;GSM2514469_C17;;Human UC donor, inflammed colon, stromal cell;Human_S6_UC_inflammed_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C17;20160523;stromal cell;CL:0000499;stromal cell;SAMN06467671;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
cd9c3f8f-c551-4f8e-b430-87eb0c7573b0;GSM2514478_C24;;Human UC donor, inflammed colon, stromal cell;Human_S6_UC_inflammed_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C24;20160523;stromal cell;CL:0000499;stromal cell;SAMN06467661;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
e322bebc-22c8-4213-9797-fa5f6167c192;GSM2514448_C32;;Human UC donor, inflammed colon, stromal cell;Human_S6_UC_inflammed_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C32;20160523;stromal cell;CL:0000499;stromal cell;SAMN06467492;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
340fcc62-e8ec-45fb-aa95-d46e0eb3ba6e;GSM2514451_C33;;Human UC donor, inflammed colon, stromal cell;Human_S6_UC_inflammed_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C33;20160523;stromal cell;CL:0000499;stromal cell;SAMN06467489;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
62e89520-bd05-43f9-b5c4-97c0a2386cac;GSM2514455_C34;;Human UC donor, inflammed colon, stromal cell;Human_S6_UC_inflammed_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C34;20160523;stromal cell;CL:0000499;stromal cell;SAMN06467684;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
45c571b9-3d70-4314-a793-1fd4c56a89bd;GSM2514470_C46;;Human UC donor, inflammed colon, stromal cell;Human_S6_UC_inflammed_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C46;20160523;stromal cell;CL:0000499;stromal cell;SAMN06467669;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
69b074a2-8658-4f07-a09e-57e3862f11d3;GSM2514476_C51;;Human UC donor, inflammed colon, stromal cell;Human_S6_UC_inflammed_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C51;20160523;stromal cell;CL:0000499;stromal cell;SAMN06467663;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
f7cd9703-0817-4da1-8abd-b01ec837a083;GSM2514452_C74;;Human UC donor, inflammed colon, stromal cell;Human_S6_UC_inflammed_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C74;20160523;stromal cell;CL:0000499;stromal cell;SAMN06467488;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
6109260b-8509-461b-af1f-6b8efdc659d1;GSM2514405_C04;;Human UC donor, noninflammed colon, stromal cell;Human_S6_UC_noninflammed_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C04;20160519;stromal cell;CL:0000499;stromal cell;SAMN06467400;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
6ec6a026-6a2c-4307-bf70-4a96248bd122;GSM2514406_C05;;Human UC donor, noninflammed colon, stromal cell;Human_S6_UC_noninflammed_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C05;20160519;stromal cell;CL:0000499;stromal cell;SAMN06467399;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
3de854df-8dac-4413-b91d-cc135c974d82;GSM2514407_C09;;Human UC donor, noninflammed colon, stromal cell;Human_S6_UC_noninflammed_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C09;20160519;stromal cell;CL:0000499;stromal cell;SAMN06467398;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
a5ba7635-35ac-40b1-90e3-91b7c1e83522;GSM2514411_C14;;Human UC donor, noninflammed colon, stromal cell;Human_S6_UC_noninflammed_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C14;20160519;stromal cell;CL:0000499;stromal cell;SAMN06467393;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
c07749da-1a93-4a6e-91e1-5007171786f2;GSM2514415_C15;;Human UC donor, noninflammed colon, stromal cell;Human_S6_UC_noninflammed_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C15;20160519;stromal cell;CL:0000499;stromal cell;SAMN06467389;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
cba01412-cfa7-46ff-9773-4d2c2295c097;GSM2514418_C17;;Human UC donor, noninflammed colon, stromal cell;Human_S6_UC_noninflammed_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C17;20160519;stromal cell;CL:0000499;stromal cell;SAMN06467386;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
7229a039-87dc-40f4-be29-ad8f08bed7bc;GSM2514424_C21;;Human UC donor, noninflammed colon, stromal cell;Human_S6_UC_noninflammed_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C21;20160519;stromal cell;CL:0000499;stromal cell;SAMN06467380;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
22d0e5e0-2618-4304-828c-db6366bc4b96;GSM2514430_C23;;Human UC donor, noninflammed colon, stromal cell;Human_S6_UC_noninflammed_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C23;20160519;stromal cell;CL:0000499;stromal cell;SAMN06467510;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
57abc780-f12c-44b7-967e-a0e050bf7b58;GSM2514433_C25;;Human UC donor, noninflammed colon, stromal cell;Human_S6_UC_noninflammed_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C25;20160519;stromal cell;CL:0000499;stromal cell;SAMN06467507;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
f59b9a2c-1950-4423-b903-9a6a5d8c4aa1;GSM2514436_C26;;Human UC donor, noninflammed colon, stromal cell;Human_S6_UC_noninflammed_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C26;20160519;stromal cell;CL:0000499;stromal cell;SAMN06467504;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
04dbb032-ad3b-4584-a908-74b1f4921622;GSM2514439_C27;;Human UC donor, noninflammed colon, stromal cell;Human_S6_UC_noninflammed_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C27;20160519;stromal cell;CL:0000499;stromal cell;SAMN06467501;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
0307b309-8e7e-487d-99ba-10a5c5d00b66;GSM2514442_C28;;Human UC donor, noninflammed colon, stromal cell;Human_S6_UC_noninflammed_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C28;20160519;stromal cell;CL:0000499;stromal cell;SAMN06467498;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
14732f1f-11dc-4bd7-bb1a-8f8c98263f57;GSM2514444_C29;;Human UC donor, noninflammed colon, stromal cell;Human_S6_UC_noninflammed_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C29;20160519;stromal cell;CL:0000499;stromal cell;SAMN06467496;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
1da67edc-ff99-4f0a-926d-c2aa79a81943;GSM2514412_C30;;Human UC donor, noninflammed colon, stromal cell;Human_S6_UC_noninflammed_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C30;20160519;stromal cell;CL:0000499;stromal cell;SAMN06467392;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
65f87bb8-1404-4278-a873-48d0cc4b27a2;GSM2514416_C32;;Human UC donor, noninflammed colon, stromal cell;Human_S6_UC_noninflammed_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C32;20160519;stromal cell;CL:0000499;stromal cell;SAMN06467388;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
10bb0975-aaa7-4292-9575-75d66c5aac51;GSM2514419_C34;;Human UC donor, noninflammed colon, stromal cell;Human_S6_UC_noninflammed_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C34;20160519;stromal cell;CL:0000499;stromal cell;SAMN06467385;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
7266c0b0-244d-400b-be35-9bb1aabd8621;GSM2514428_C38;;Human UC donor, noninflammed colon, stromal cell;Human_S6_UC_noninflammed_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C38;20160519;stromal cell;CL:0000499;stromal cell;SAMN06467512;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
56709add-aaa9-4c55-bfc1-bbf2bd3535b1;GSM2514431_C41;;Human UC donor, noninflammed colon, stromal cell;Human_S6_UC_noninflammed_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C41;20160519;stromal cell;CL:0000499;stromal cell;SAMN06467509;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
2214498a-3c02-4936-a7c6-ffdd26127397;GSM2514434_C42;;Human UC donor, noninflammed colon, stromal cell;Human_S6_UC_noninflammed_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C42;20160519;stromal cell;CL:0000499;stromal cell;SAMN06467506;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
b46a2c88-951a-4fc5-9fe9-89dd6b5d6700;GSM2514437_C44;;Human UC donor, noninflammed colon, stromal cell;Human_S6_UC_noninflammed_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C44;20160519;stromal cell;CL:0000499;stromal cell;SAMN06467503;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
0024d3f9-754a-454d-8b7f-b4e4c72fb852;GSM2514440_C45;;Human UC donor, noninflammed colon, stromal cell;Human_S6_UC_noninflammed_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C45;20160519;stromal cell;CL:0000499;stromal cell;SAMN06467500;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
bc56abf9-34c3-480a-ae20-de5515305db6;GSM2514443_C46;;Human UC donor, noninflammed colon, stromal cell;Human_S6_UC_noninflammed_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C46;20160519;stromal cell;CL:0000499;stromal cell;SAMN06467497;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
2fc74b3c-cdb9-4469-8c22-06ea90804113;GSM2514413_C75;;Human UC donor, noninflammed colon, stromal cell;Human_S6_UC_noninflammed_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C75;20160519;stromal cell;CL:0000499;stromal cell;SAMN06467391;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
2be0a28f-8a36-4fce-9aa7-949f550f0276;GSM2514417_C76;;Human UC donor, noninflammed colon, stromal cell;Human_S6_UC_noninflammed_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C76;20160519;stromal cell;CL:0000499;stromal cell;SAMN06467387;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
d3eae38e-c6d3-4385-b126-755c5223b68b;GSM2514420_C79;;Human UC donor, noninflammed colon, stromal cell;Human_S6_UC_noninflammed_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C79;20160519;stromal cell;CL:0000499;stromal cell;SAMN06467384;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
da3103de-5e3f-45ae-8534-8496c814f91a;GSM2514423_C82;;Human UC donor, noninflammed colon, stromal cell;Human_S6_UC_noninflammed_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C82;20160519;stromal cell;CL:0000499;stromal cell;SAMN06467381;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
78094179-d948-413b-be4c-7eaa86eff76e;GSM2514429_C86;;Human UC donor, noninflammed colon, stromal cell;Human_S6_UC_noninflammed_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C86;20160519;stromal cell;CL:0000499;stromal cell;SAMN06467511;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
0d0bebd5-4e9d-4a2a-9e34-fba409383ba9;GSM2514432_C87;;Human UC donor, noninflammed colon, stromal cell;Human_S6_UC_noninflammed_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C87;20160519;stromal cell;CL:0000499;stromal cell;SAMN06467508;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
1b553f06-96ff-49fd-a309-6bcdb310d1bb;GSM2514435_C90;;Human UC donor, noninflammed colon, stromal cell;Human_S6_UC_noninflammed_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C90;20160519;stromal cell;CL:0000499;stromal cell;SAMN06467505;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
